,movie_id,keyword_id
1016,440,11
1017,440,6
1018,443,95
1019,446,57
1020,448,38
1021,448,44
1022,451,83
1023,451,85
1024,451,86
1025,452,92
1026,453,70
1027,455,83
1028,456,26
1029,456,93
1030,456,67
1031,456,4
1032,456,14
1033,456,33
1034,456,101
1035,457,2
1036,457,10
1037,457,86
1038,458,4
1039,458,14
1040,458,33
1041,458,101
1042,459,12
1043,461,16
1044,461,69
1045,461,98
1046,463,30
1047,465,2
1048,465,10
1049,465,3
1050,465,11
1051,465,100
1052,465,4
1053,465,14
1054,465,33
1055,465,101
1056,465,15
1057,466,30
1058,468,57
1059,471,70
1060,472,4
1061,472,14
1062,472,33
1063,472,101
1064,472,85
1065,472,86
1066,473,1
1067,473,28
1068,473,40
1069,473,97
1070,474,66
1071,475,4
1072,475,14
1073,475,33
1074,475,101
1075,477,57
1076,479,31
1077,483,4
1078,483,14
1079,483,33
1080,483,101
1081,486,57
1082,488,16
1083,488,1
1084,488,28
1085,488,40
1086,488,97
1087,488,2
1088,488,10
1089,488,3
1090,488,11
1091,488,100
1092,488,4
1093,488,14
1094,488,33
1095,488,101
1096,488,6
1097,489,70
1098,490,12
1099,491,57
1100,492,4
1101,492,14
1102,492,33
1103,492,101
1104,493,67
1105,493,2
1106,493,10
1107,493,3
1108,493,11
1109,493,15
1110,494,98
1111,496,57
1112,497,70
1113,497,30
1114,497,52
1115,498,94
1116,498,100
1117,499,60
1118,501,79
1119,501,26
1120,501,93
1121,501,1
1122,501,28
1123,501,40
1124,501,97
1125,501,30
1126,504,57
1127,504,39
1128,505,69
1129,507,58
1130,508,4
1131,508,14
1132,508,33
1133,508,101
1134,509,100
1135,509,4
1136,509,14
1137,509,33
1138,509,101
1139,510,57
1140,512,2
1141,512,10
1142,512,3
1143,512,11
1144,512,50
1145,512,100
1146,512,4
1147,512,14
1148,512,33
1149,512,101
1150,512,6
1151,513,1
1152,513,28
1153,513,40
1154,513,97
1155,513,4
1156,513,14
1157,513,33
1158,513,101
1159,514,2
1160,514,10
1161,514,3
1162,514,11
1163,514,13
1164,514,100
1165,514,4
1166,514,14
1167,514,33
1168,514,101
1169,514,15
1170,515,82
1171,515,1
1172,515,28
1173,515,40
1174,515,97
1175,515,86
1176,518,87
1177,519,79
1178,523,1
1179,523,28
1180,523,40
1181,523,97
1182,525,38
1183,525,44
1184,525,1
1185,525,28
1186,525,40
1187,525,97
1188,526,9
1189,526,2
1190,526,10
1191,526,3
1192,526,11
1193,526,100
1194,526,4
1195,526,14
1196,526,33
1197,526,101
1198,530,57
1199,531,1
1200,531,28
1201,531,40
1202,531,97
1203,531,2
1204,531,10
1205,531,3
1206,531,11
1207,532,45
1208,533,2
1209,533,10
1210,533,4
1211,533,14
1212,533,33
1213,533,101
1214,534,2
1215,534,10
1216,534,3
1217,534,11
1218,534,100
1219,534,4
1220,534,14
1221,534,33
1222,534,101
1223,534,6
1224,536,70
1225,539,57
1226,540,57
1227,540,79
1228,540,25
1229,540,70
1230,540,31
1231,540,81
1232,540,54
1233,545,47
1234,546,2
1235,546,10
1236,546,13
1237,547,38
1238,547,44
1239,547,94
1240,547,70
1241,550,83
1242,550,4
1243,550,14
1244,550,33
1245,550,101
1246,553,20
1247,556,70
1248,556,30
1249,557,2
1250,557,10
1251,557,3
1252,557,11
1253,557,52
1254,559,4
1255,559,14
1256,559,33
1257,559,101
1258,562,0
1259,562,2
1260,562,10
1261,562,3
1262,562,11
1263,563,2
1264,563,10
1265,564,98
1266,567,1
1267,567,28
1268,567,40
1269,567,97
1270,567,61
1271,568,29
1272,568,30
1273,569,30
1274,570,1
1275,570,28
1276,570,40
1277,570,97
1278,572,57
1279,572,16
1280,574,1
1281,574,28
1282,574,40
1283,574,97
1284,574,2
1285,574,10
1286,574,3
1287,574,11
1288,574,100
1289,574,4
1290,574,14
1291,574,33
1292,574,101
1293,574,6
1294,575,87
1295,577,66
1296,579,3
1297,579,11
1298,579,4
1299,579,14
1300,579,33
1301,579,101
1302,581,82
1303,581,48
1304,581,86
1305,583,4
1306,583,14
1307,583,33
1308,583,101
1309,584,95
1310,589,2
1311,589,10
1312,589,3
1313,589,11
1314,589,15
1315,591,66
1316,592,57
1317,592,1
1318,592,28
1319,592,40
1320,592,97
1321,592,70
1322,592,98
1323,592,50
1324,592,60
1325,592,31
1326,593,83
1327,595,1
1328,595,28
1329,595,40
1330,595,97
1331,602,4
1332,602,14
1333,602,33
1334,602,101
1335,608,95
1336,609,83
1337,609,100
1338,611,4
1339,611,14
1340,611,33
1341,611,101
1342,612,92
1343,614,1
1344,614,28
1345,614,40
1346,614,97
1347,615,57
1348,615,98
1349,616,91
1350,619,57
1351,619,86
1352,620,3
1353,620,11
1354,622,57
1355,623,1
1356,623,28
1357,623,40
1358,623,97
1359,623,4
1360,623,14
1361,623,33
1362,623,101
1363,624,58
1364,624,69
1365,624,70
1366,624,30
1367,624,51
1368,624,63
1369,626,100
1370,628,1
1371,628,28
1372,628,40
1373,628,97
1374,629,0
1375,629,2
1376,629,10
1377,632,1
1378,632,28
1379,632,40
1380,632,97
1381,632,100
1382,632,4
1383,632,14
1384,632,33
1385,632,101
1386,636,57
1387,636,82
1388,636,84
1389,636,88
1390,637,4
1391,637,14
1392,637,33
1393,637,101
1394,638,0
1395,638,2
1396,638,10
1397,638,3
1398,638,11
1399,638,13
1400,638,100
1401,640,2
1402,640,10
1403,640,3
1404,640,11
1405,640,100
1406,644,57
1407,646,29
1408,649,4
1409,649,14
1410,649,33
1411,649,101
1412,651,1
1413,651,28
1414,651,40
1415,651,97
1416,651,69
1417,651,70
1418,652,82
1419,652,4
1420,652,14
1421,652,33
1422,652,101
1423,656,70
1424,657,1
1425,657,28
1426,657,40
1427,657,97
1428,660,2
1429,660,10
1430,660,3
1431,660,11
1432,660,100
1433,660,6
1434,661,57
1435,662,57
1436,662,1
1437,662,28
1438,662,40
1439,662,97
1440,664,100
1441,664,4
1442,664,14
1443,664,33
1444,664,101
1445,665,69
1446,665,100
1447,666,2
1448,666,10
1449,666,3
1450,666,11
1451,666,15
1452,667,91
1453,668,2
1454,668,10
1455,668,3
1456,668,11
1457,669,1
1458,669,28
1459,669,40
1460,669,97
1461,674,100
1462,675,2
1463,675,10
1464,675,3
1465,675,11
1466,675,100
1467,675,4
1468,675,14
1469,675,33
1470,675,101
1471,675,6
1472,677,95
1473,678,8
1474,678,1
1475,678,28
1476,678,40
1477,678,97
1478,678,20
1479,680,83
1480,680,95
1481,680,98
1482,682,57
1483,682,70
1484,683,83
1485,683,100
1486,684,83
1487,684,48
1488,684,85
1489,684,86
1490,685,57
1491,686,9
1492,686,2
1493,686,10
1494,686,3
1495,686,11
1496,687,49
1497,688,57
1498,688,1
1499,688,28
1500,688,40
1501,688,97
1502,689,1
1503,689,28
1504,689,40
1505,689,97
1506,689,2
1507,689,10
1508,690,1
1509,690,28
1510,690,40
1511,690,97
