,movie_id,genre_id
532,12444,12
533,12444,14
534,675,12
535,675,14
536,675,9648
537,999205,53
538,999205,28
539,157336,12
540,157336,18
541,157336,878
542,299534,12
543,299534,878
544,299534,28
545,20982,16
546,20982,28
547,20982,14
548,997120,28
549,997120,53
550,997120,9648
551,927341,27
552,927341,53
553,927341,28
554,927341,12
555,927341,80
556,927341,9648
557,927341,18
558,927341,10752
559,560057,16
560,560057,12
561,560057,10751
562,560057,14
563,848123,28
564,848123,53
565,761898,16
566,761898,28
567,761898,14
568,761898,878
569,537915,10749
570,537915,18
571,436969,28
572,436969,35
573,436969,12
574,877957,16
575,877957,18
576,877957,9648
577,877957,14
578,877957,10751
579,993736,35
580,860623,28
581,860623,53
582,474350,27
583,474350,14
584,303857,28
585,303857,16
586,303857,878
587,460458,27
588,460458,878
589,460458,28
590,725201,28
591,725201,53
592,724495,28
593,724495,18
594,724495,36
595,399566,28
596,399566,14
597,399566,878
598,931925,35
599,588228,28
600,588228,878
601,588228,12
602,406759,878
603,613504,10749
604,613504,18
605,385128,28
606,385128,12
607,385128,80
608,385128,53
609,1010821,16
610,1010821,10751
611,1010821,35
612,1010821,878
613,637649,28
614,637649,80
615,637649,53
616,945675,18
617,423108,27
618,423108,9648
619,423108,53
620,773975,53
621,773975,18
622,773975,80
623,802699,16
624,802699,18
625,802699,9648
626,802699,14
627,862551,35
628,893370,27
629,932339,35
630,932339,10749
631,269149,16
632,269149,12
633,269149,10751
634,269149,35
635,812025,18
636,624860,878
637,624860,28
638,624860,12
639,862,16
640,862,12
641,862,10751
642,862,35
643,772450,27
644,131631,878
645,131631,12
646,131631,53
647,9479,14
648,9479,16
649,9479,10751
650,585,16
651,585,35
652,585,10751
653,111332,99
654,24428,878
655,24428,28
656,24428,12
657,897338,18
658,897338,27
659,897338,53
660,897338,10770
661,296096,18
662,296096,10749
663,512195,28
664,512195,35
665,512195,80
666,512195,53
667,766475,9648
668,766475,53
669,766475,35
670,529203,16
671,529203,10751
672,529203,12
673,529203,14
674,529203,35
675,619803,80
676,619803,28
677,138843,27
678,138843,53
679,589754,14
680,589754,12
681,589754,35
682,397567,18
683,397567,14
684,397567,28
685,764835,53
686,14836,16
687,14836,10751
688,14836,14
689,833425,27
690,833425,53
691,833425,9648
692,1012801,16
693,317442,28
694,317442,10749
695,317442,16
696,960258,27
697,960258,53
698,960258,28
699,960258,12
700,497698,28
701,497698,12
702,497698,878
703,911129,18
704,913988,18
705,10138,12
706,10138,28
707,10138,878
708,2082,27
709,769636,18
710,769636,53
711,894205,28
712,894205,14
713,894205,27
714,894205,10770
715,667276,16
716,667276,35
717,667276,14
718,667276,12
719,667276,10751
720,800510,53
721,823625,28
722,823625,53
723,8871,10751
724,8871,35
725,8871,14
726,830784,35
727,830784,10751
728,830784,10402
729,3933,10749
730,3933,14
731,3933,16
732,8587,10751
733,8587,16
734,8587,18
735,809,16
736,809,10751
737,809,35
738,809,14
739,809,12
740,799546,18
741,799546,53
742,799546,9648
743,821420,80
744,821420,53
745,821420,18
746,675445,16
747,675445,10751
748,675445,12
749,675445,35
750,936074,35
751,936074,18
752,639721,16
753,639721,12
754,639721,35
755,639721,10751
756,639721,14
757,639721,27
758,873125,28
759,873125,12
760,873125,35
761,873125,80
762,873125,10752
763,482373,53
764,482373,27
765,877183,16
766,877183,35
767,877183,14
768,550988,35
769,550988,12
770,550988,878
771,24021,12
772,24021,14
773,24021,18
774,24021,10749
775,1022206,35
776,1022206,10749
777,696806,12
778,696806,878
779,585245,10751
780,585245,12
781,585245,35
782,585245,14
783,370455,28
784,370455,16
785,726684,16
786,726684,10751
787,726684,12
788,726684,14
789,726684,28
790,726684,10770
791,520763,878
792,520763,53
793,520763,27
794,451048,28
795,451048,12
796,451048,14
797,952374,53
798,786918,18
799,360920,16
800,360920,10751
801,360920,35
802,360920,14
803,755812,16
804,755812,10751
805,755812,12
806,755812,10770
807,755812,14
808,755812,28
809,425,16
810,425,35
811,425,10751
812,425,12
813,926762,99
814,926762,27
815,198663,28
816,198663,9648
817,198663,878
818,198663,53
819,7445,18
820,7445,53
821,7445,10752
822,804413,35
823,804413,14
824,379686,10751
825,379686,16
826,379686,35
827,379686,878
828,81774,35
829,81774,18
830,4247,35
831,527774,16
832,527774,10751
833,527774,14
834,527774,28
835,527774,12
836,750466,18
837,750466,35
838,750466,10749
839,34433,16
840,34433,878
841,34433,28
842,975714,53
843,975714,80
844,975714,18
845,703771,16
846,703771,28
847,703771,12
848,703771,878
849,945657,53
850,945657,27
851,405869,80
852,723419,18
853,723419,53
854,723419,27
855,664469,80
856,664469,35
857,664469,36
858,664469,9648
859,664469,53
860,1865,12
861,1865,28
862,1865,14
863,592350,16
864,592350,28
865,592350,14
866,592350,12
867,38757,16
868,38757,10751
869,11932,35
870,11932,27
871,11932,53
872,667739,28
873,667739,35
874,576925,16
875,576925,12
876,576925,10751
877,122917,28
878,122917,12
879,122917,14
880,603692,28
881,603692,53
882,603692,80
883,554596,35
884,293660,28
885,293660,12
886,293660,35
887,476669,28
888,476669,12
889,476669,53
890,476669,10752
891,476669,9648
892,635891,35
893,99861,28
894,99861,12
895,99861,878
896,610253,27
897,610253,53
898,23823,27
899,23823,53
900,518068,18
901,518068,14
902,518068,28
903,287003,99
904,528222,16
905,528222,14
906,528222,10751
907,1008204,12
908,1008204,14
909,8966,14
910,8966,18
911,8966,10749
912,864370,27
913,150540,16
914,150540,10751
915,150540,12
916,150540,18
917,150540,35
918,1010823,16
919,1010823,10751
920,1010823,878
921,1010823,35
922,633844,16
923,633844,18
924,633844,12
925,633844,14
926,348893,28
927,348893,18
928,11249,35
929,11249,27
930,11249,53
931,632727,27
932,632727,53
933,929170,35
934,214756,35
935,214756,14
936,892153,16
937,892153,35
938,892153,10751
939,892153,37
940,763285,28
941,763285,53
942,763285,80
943,901944,35
944,714888,18
945,714888,36
946,259693,27
947,259693,53
948,38234,28
949,38234,53
950,1029446,18
951,615469,878
952,615469,53
953,829799,80
954,829799,28
955,829799,53
956,531219,12
957,531219,14
958,531219,35
959,337401,12
960,337401,14
961,337401,18
962,337401,28
963,280002,53
964,280002,27
965,791348,16
966,791348,28
967,791348,12
968,228150,10752
969,228150,18
970,228150,28
971,475557,80
972,475557,53
973,475557,18
974,634528,28
975,634528,53
976,818647,18
977,818647,10749
978,50620,12
979,50620,14
980,50620,18
981,50620,10749
982,10585,27
983,894169,28
984,50619,12
985,50619,14
986,50619,10749
987,758724,27
988,758724,9648
989,77338,18
990,77338,35
991,936897,10770
992,936897,9648
993,1023086,27
994,705861,18
995,705861,35
996,324552,28
997,324552,53
998,324552,80
999,854467,28
1000,854467,53
1001,854467,80
1002,438631,878
1003,438631,12
1004,628878,53
1005,330457,10751
1006,330457,16
1007,330457,12
1008,330457,35
1009,330457,14
1010,978436,18
1011,978436,28
1012,978436,12
1013,893297,80
1014,893297,28
1015,697799,28
1016,697799,27
1017,697799,53
1018,697799,10752
1019,697799,14
1020,12153,35
1021,12153,80
1022,93456,16
1023,93456,35
1024,93456,10751
1025,589761,18
1026,589761,36
1027,589761,12
1028,589761,28
1029,589761,14
1030,589761,9648
1031,9820,35
1032,9820,10751
1033,928391,27
1034,101299,12
1035,101299,28
1036,101299,878
1037,2062,16
1038,2062,35
1039,2062,10751
1040,2062,14
1041,177572,12
1042,177572,10751
1043,177572,16
1044,177572,28
1045,177572,35
1046,121734,16
1047,121734,35
1048,121734,12
1049,121734,10751
1050,632357,27
1051,632357,9648
1052,9702,80
1053,9702,28
1054,9702,18
1055,9702,53
1056,458576,28
1057,458576,14
1058,458576,12
1059,661791,18
1060,661791,27
1061,863,16
1062,863,35
1063,863,10751
